Ciudades,Rutas,TotalPremium,LimitePremium,Nanosegundos
6,12,3,3,11733
6,12,4,0,3842
6,12,4,1,6425
6,12,4,2,9149
6,12,4,3,11873
6,12,4,4,15365
6,12,5,0,3772
6,12,5,1,6076
6,12,5,2,9009
6,12,5,3,11733
6,12,5,4,15505
6,12,5,5,19975
6,12,6,0,3841
6,12,6,1,5937
6,12,6,2,9080
6,12,6,3,11733
6,12,6,4,15295
6,12,6,5,20114
6,12,6,6,24514
6,12,7,0,3911
6,12,7,1,5937
6,12,7,2,8939
6,12,7,3,11733
6,12,7,4,15504
6,12,7,5,19975
6,12,7,6,24724
6,12,7,7,29752
6,12,8,0,3911
6,12,8,1,6006
6,12,8,2,9079
6,12,8,3,11873
6,12,8,4,15365
6,12,8,5,19695
6,12,8,6,24305
6,12,8,7,29892
6,12,8,8,34920
6,12,9,0,3911
6,12,9,1,5937
6,12,9,2,8870
6,12,9,3,11733
6,12,9,4,15435
6,12,9,5,20114
6,12,9,6,24374
6,12,9,7,29542
6,12,9,8,35270
6,12,9,9,41345
6,12,10,0,3981
6,12,10,1,6006
6,12,10,2,9149
6,12,10,3,11733
6,12,10,4,15225
6,12,10,5,19695
6,12,10,6,24584
6,12,10,7,29542
6,12,10,8,34780
6,12,10,9,41136
6,12,10,10,46863
6,12,11,0,4121
6,12,11,1,6076
6,12,11,2,8661
6,12,11,3,11664
6,12,11,4,15505
6,12,11,5,19835
6,12,11,6,24444
6,12,11,7,29962
6,12,11,8,35409
6,12,11,9,40787
6,12,11,10,46933
6,12,11,11,54126
6,12,12,0,3911
6,12,12,1,5937
6,12,12,2,9009
6,12,12,3,11942
6,12,12,4,15574
6,12,12,5,19975
6,12,12,6,24654
6,12,12,7,29542
6,12,12,8,34921
6,12,12,9,40856
6,12,12,10,46933
6,12,12,11,54196
6,12,12,12,61111
6,13,0,0,3911
6,13,1,0,4050
6,13,1,1,6425
6,13,2,0,4050
6,13,2,1,6355
6,13,2,2,9638
6,13,3,0,3980
6,13,3,1,6285
6,13,3,2,9428
6,13,3,3,11943
6,13,4,0,3701
6,13,4,1,6425
6,13,4,2,9429
6,13,4,3,12082
6,13,4,4,16064
6,13,5,0,3772
6,13,5,1,6356
6,13,5,2,9358
6,13,5,3,12362
6,13,5,4,15924
6,13,5,5,20323
6,13,6,0,3981
6,13,6,1,6286
6,13,6,2,9289
6,13,6,3,12222
6,13,6,4,15854
6,13,6,5,20254
6,13,6,6,25282
6,13,7,0,4050
6,13,7,1,6704
6,13,7,2,9429
6,13,7,3,12152
6,13,7,4,15993
6,13,7,5,20394
6,13,7,6,25561
6,13,7,7,30380
6,13,8,0,4051
6,13,8,1,6635
6,13,8,2,9289
6,13,8,3,12012
6,13,8,4,15854
6,13,8,5,20394
6,13,8,6,25212
6,13,8,7,30171
6,13,8,8,35968
6,13,9,0,3911
6,13,9,1,6216
6,13,9,2,9359
6,13,9,3,12432
6,13,9,4,15644
6,13,9,5,20533
6,13,9,6,25282
6,13,9,7,30451
6,13,9,8,36178
6,13,9,9,41905
6,13,10,0,4051
6,13,10,1,6565
6,13,10,2,9289
6,13,10,3,12152
6,13,10,4,15994
6,13,10,5,20323
6,13,10,6,25422
6,13,10,7,30590
6,13,10,8,35967
6,13,10,9,42603
6,13,10,10,49237
6,13,11,0,4190
6,13,11,1,6355
6,13,11,2,9708
6,13,11,3,12432
6,13,11,4,15923
6,13,11,5,20603
6,13,11,6,25073
6,13,11,7,30450
6,13,11,8,35758
6,13,11,9,42463
6,13,11,10,48679
6,13,11,11,55314
6,13,12,0,3981
6,13,12,1,6146
6,13,12,2,9429
6,13,12,3,12362
6,13,12,4,15993
