Ciudades,RutasExistentes,Nanosegundos
17,50,24837
17,51,23802
17,52,25032
17,53,24788
17,54,24334
17,55,23792
17,56,24061
17,57,23670
17,58,23978
17,59,24190
17,60,25032
17,61,24860
17,62,24518
17,63,24833
17,64,23703
17,65,24526
17,66,24293
17,67,23928
17,68,24933
17,69,24903
17,70,24099
17,71,24378
17,72,25577
17,73,24899
17,74,24851
17,75,24865
17,76,25184
17,77,25110
17,78,26214
17,79,24511
17,80,25894
17,81,24585
17,82,26539
17,83,26257
17,84,25490
17,85,25579
17,86,25824
17,87,25145
17,88,25560
17,89,25477
17,90,25877
17,91,26075
17,92,26071
17,93,26456
17,94,26171
17,95,26166
17,96,26863
17,97,26697
17,98,26337
17,99,26665
17,100,26060
17,101,26540
17,102,27110
17,103,27329
17,104,27197
17,105,26624
17,106,26549
17,107,26021
17,108,27012
17,109,25480
17,110,26514
17,111,27652
17,112,27461
17,113,27820
17,114,28462
17,115,27605
17,116,27454
17,117,27536
17,118,26799
17,119,28494
17,120,28087
17,121,28302
17,122,28165
17,123,27689
17,124,28361
17,125,28698
17,126,28093
17,127,29724
17,128,29589
17,129,29873
17,130,29228
17,131,28566
17,132,29916
17,133,29164
17,134,29176
17,135,29981
17,136,29067
18,0,26648
18,1,26905
18,2,26742
18,3,27941
18,4,26461
18,5,25790
18,6,26673
18,7,25913
18,8,27010
18,9,27185
18,10,26703
18,11,26879
18,12,27624
18,13,26832
18,14,26914
18,15,25730
18,16,27307
18,17,26678
18,18,27578
18,19,27492
18,20,26623
18,21,27018
18,22,26663
18,23,26482
18,24,27473
18,25,26068
18,26,25900
18,27,27044
18,28,26780
18,29,26877
18,30,26424
18,31,28122
18,32,26911
18,33,26141
18,34,26280
18,35,26538
18,36,26687
18,37,27033
18,38,26821
18,39,26438
18,40,27063
18,41,26583
18,42,27216
18,43,27365
18,44,27164
18,45,26617
18,46,27955
18,47,27168
18,48,27350
18,49,27342
18,50,27137
18,51,26689
18,52,26987
18,53,27393
18,54,27235
18,55,28770
18,56,27251
18,57,26754
18,58,27458
18,59,27927
18,60,27587
18,61,27130
18,62,26884
18,63,26564
18,64,28371
18,65,27553
18,66,27595
18,67,26576
18,68,27234
18,69,28420
18,70,28231
18,71,28119
18,72,27677
18,73,27596
18,74,28111
18,75,27962
18,76,27952
18,77,27088
18,78,28303
18,79,28500
18,80,29118
18,81,28053
18,82,28595
18,83,28177
18,84,28932
18,85,29321
18,86,28396
18,87,28529
18,88,28513
18,89,29801
18,90,29266
18,91,29253
18,92,28663
18,93,29624
18,94,29556
18,95,29234
18,96,29426
18,97,29223
18,98,29167
18,99,29529
18,100,28905
18,101,29151
18,102,29916
18,103,29555
18,104,29422
18,105,29997
18,106,30835
18,107,29595
18,108,30030
18,109,29536
18,110,30715
18,111,29128
18,112,29827
18,113,30464
18,114,29835
18,115,29655
18,116,31134
18,117,30529
18,118,29831
18,119,30741
18,120,30006
18,121,29852
18,122,30500
18,123,30294
18,124,30661
18,125,30888
18,126,31597
18,127,31713
18,128,31315
18,129,31417
18,130,31433
18,131,31062
18,132,31511
18,133,32601
18,134,32672
18,135,31772
18,136,33310
18,137,31766
18,138,32400
18,139,30905
18,140,31996
18,141,32274
18,142,32767
18,143,32789
18,144,33465
18,145,33388
18,146,32193
18,147,33713
18,148,33871
18,149,32912
18,150,32683
18,151,32414
18,152,34156
18,153,32979
19,0,30665
19,1,29906
19,2,30007
19,3,30141
19,4,30329
19,5,30374
19,6,29262
19,7,29947
19,8,29729
19,9,29868
19,10,30272
19,11,29841
19,12,30042
19,13,30073
19,14,29674
19,15,30073
19,16,29577
19,17,31376
19,18,31889
19,19,29223
19,20,30605
19,21,31673
19,22,30492
19,23,31230
19,24,29505
19,25,30269
19,26,30859
19,27,29482
19,28,31237
19,29,30388
19,30,30770
19,31,29573
19,32,29999
19,33,29484
19,34,29442
19,35,30629
19,36,29206
19,37,30598
19,38,30578
19,39,30040
19,40,29178
19,41,29283
19,42,30116
19,43,29094
19,44,28446
19,45,30230
19,46,30770
19,47,29327
19,48,30394
19,49,30655
19,50,29672
19,51,29968
19,52,29479
19,53,29137
19,54,29072
19,55,30668
19,56,29902
19,57,31082
